Tickers,Min Date,Max Date
POOL,1/1/2008,7/21/2022
WRB,1/1/2008,7/21/2022
UDR,1/1/2008,7/26/2022
CPT,1/1/2008,7/28/2022
TER,1/1/2008,7/26/2022
FMC,1/1/2008,8/2/2022
DPZ,1/1/2008,7/21/2022
ETSY,1/1/2008,7/27/2022
HWM,1/1/2008,8/4/2022
GRMN,1/1/2008,7/27/2022
NLOK,1/1/2008,8/4/2022
INCY,1/1/2008,8/2/2022
APA,1/1/2008,8/3/2022
VFC,1/1/2008,7/28/2022
LDOS,1/1/2008,8/2/2022
STX,1/1/2008,7/21/2022
KIM,1/1/2008,7/28/2022
HRL,1/1/2008,9/1/2022
BF-B,1/1/2008,8/31/2022
WDC,1/1/2008,8/5/2022
SWK,1/1/2008,7/28/2022
PKG,1/1/2008,7/25/2022
TECH,1/1/2008,8/4/2022
CBOE,1/1/2008,7/29/2022
CTXS,1/1/2008,7/26/2022
NVR,1/1/2008,7/26/2022
LVS,1/1/2008,7/20/2022
HST,1/1/2008,8/3/2022
NDSN,1/1/2008,8/22/2022
PTC,1/1/2008,7/27/2022
LYV,1/1/2008,8/4/2022
NI,1/1/2008,8/3/2022
MAS,1/1/2008,7/28/2022
ABMD,1/1/2008,8/4/2022
MGM,1/1/2008,8/3/2022
CE,1/1/2008,7/28/2022
EMN,1/1/2008,7/28/2022
SNA,1/1/2008,7/21/2022
BXP,1/1/2008,7/26/2022
VTRS,1/1/2008,8/8/2022
LW,1/1/2008,7/27/2022
UAL,1/1/2008,7/20/2022
RE,1/1/2008,7/27/2022
L,1/1/2008,8/1/2022
FOXA,1/1/2008,8/10/2022
SBNY,1/1/2008,7/19/2022
CMA,1/1/2008,7/20/2022
AAP,1/1/2008,8/23/2022
IPG,1/1/2008,7/21/2022
WRK,1/1/2008,8/4/2022
TFX,1/1/2008,7/28/2022
BIO,1/1/2008,7/28/2022
NRG,1/1/2008,8/4/2022
HAS,1/1/2008,7/19/2022
CRL,1/1/2008,8/3/2022
CPB,1/1/2008,9/1/2022
NLSN,1/1/2008,7/27/2022
HSIC,1/1/2008,8/2/2022
QRVO,1/1/2008,8/3/2022
TAP,1/1/2008,8/2/2022
PHM,1/1/2008,7/26/2022
MKTX,1/1/2008,7/20/2022
FFIV,1/1/2008,7/25/2022
REG,1/1/2008,8/4/2022
BBWI,1/1/2008,8/17/2022
RCL,1/1/2008,7/28/2022
CCL,1/1/2008,6/24/2022
TPR,1/1/2008,8/18/2022
CZR,1/1/2008,8/2/2022
JNPR,1/1/2008,7/26/2022
HII,1/1/2008,8/4/2022
LUMN,1/1/2008,8/3/2022
AIZ,1/1/2008,8/2/2022
GL,1/1/2008,7/27/2022
BWA,1/1/2008,8/3/2022
WHR,1/1/2008,7/25/2022
ALLE,1/1/2008,7/28/2022
PNW,1/1/2008,8/3/2022
RHI,1/1/2008,7/21/2022
AAL,1/1/2008,7/21/2022
ZION,1/1/2008,7/26/2022
FBHS,1/1/2008,7/27/2022
SEE,1/1/2008,8/2/2022
LNC,1/1/2008,8/3/2022
CDAY,1/1/2008,8/3/2022
ROL,1/1/2008,7/27/2022
AOS,1/1/2008,7/28/2022
PNR,1/1/2008,7/26/2022
OGN,1/1/2008,8/4/2022
BEN,1/1/2008,7/28/2022
FRT,1/1/2008,8/4/2022
XRAY,1/1/2008,5/10/2022
DXC,1/1/2008,8/3/2022
NWSA,1/1/2008,8/8/2022
NWL,1/1/2008,7/29/2022
UHS,1/1/2008,7/25/2022
WYNN,1/1/2008,8/9/2022
MHK,1/1/2008,7/28/2022
IVZ,1/1/2008,7/27/2022
NCLH,1/1/2008,8/9/2022
ALK,1/1/2008,7/21/2022
DVA,1/1/2008,8/1/2022
PENN,1/1/2008,8/4/2022
FOX,1/1/2008,8/10/2022
RL,1/1/2008,8/9/2022
DISH,1/1/2008,8/3/2022
VNO,1/1/2008,8/1/2022
PVH,1/1/2008,8/30/2022
NWS,1/1/2008,8/8/2022
